,"crude prevalence rate | per 1000 | Model-based estimate for crude prevalence of mental health not good for >=14 days among adults aged >=18 years, 2020",population | individuals | Total Population of Census 2010,Location
0,41.7,565,"Cleveland, Ohio"
1,38.0,3150,"Auburn University, Alabama"
2,37.3,5158,"Tampa, Florida"
3,36.4,1956,"Athens, Georgia"
4,36.3,2872,"Towson, Maryland"
5,35.9,2802,"Lexington, Kentucky"
6,34.3,5004,"Bowling Green, Ohio"
7,34.1,2409,"Athens, Georgia"
8,33.8,5658,"Kent, Ohio"
9,33.1,522,"Counselor, New Mexico"
10,32.2,12764,"University Park, Pennsylvania"
11,32.1,783,"Panther, West Virginia"
12,31.9,6189,"Muncie, Indiana"
13,31.7,974,"Macon, Georgia"
14,31.4,1390,"Ames, Iowa"
15,31.2,6751,"Huntington, West Virginia"
16,31.1,2127,"Winston Salem, North Carolina"
17,31.0,651,"Mohawk, West Virginia"
18,30.9,894,"Las Cruces, New Mexico"
19,30.8,1751,"Rock Hill, South Carolina"
20,30.7,6904,"Ann Arbor, Michigan"
21,30.7,1862,"Waco, Texas"
22,30.6,4543,"Sacaton, Arizona"
23,30.6,6362,"Flagstaff, Arizona"
24,30.5,860,"Rexburg, Idaho"
25,30.5,427,"Statesboro, Georgia"
26,30.4,2023,"Lawrence, Kansas"
27,30.3,6489,"Albany, New York"
28,30.1,12507,"Knoxville, Tennessee"
29,30.0,1806,"Cookeville, Tennessee"
30,30.0,4427,"Bloomington, Indiana"
31,29.9,10372,"Amherst, Massachusetts"
32,29.7,3205,"Baltimore, Maryland"
33,29.6,4062,"Ames, Iowa"
34,29.5,9432,"Columbus, Ohio"
35,29.4,6490,"Sells, Arizona"
36,29.3,659,"Beaufort, South Carolina"
37,29.2,4198,"University, Mississippi"
38,28.8,2295,"Stillwater, Oklahoma"
39,28.7,1304,"Fort Wingate, New Mexico"
40,28.7,9941,"Whiteriver, Arizona"
41,28.7,2178,"Bapchule, Arizona"
42,28.6,4208,"Church Rock, New Mexico"
43,28.6,4208,"Church Rock, New Mexico"
44,28.6,5916,"Akron, Ohio"
45,28.4,2090,"Tsaile, Arizona"
46,28.3,2069,"Bylas, Arizona"
47,28.3,706,"Arkadelphia, Arkansas"
48,28.2,3217,"Los Angeles, California"
49,28.2,599,"Avondale, West Virginia"
50,28.2,3196,"Peridot, Arizona"
51,28.0,1810,"Iaeger, West Virginia"
52,27.9,3029,"Nacogdoches, Texas"
53,27.9,2687,"Terre Haute, Indiana"
54,27.8,860,"Austin, Texas"
55,27.8,329,"Russian Mission, Alaska"
56,27.8,5458,"Gainesville, Florida"
57,27.7,2470,"Radford, Virginia"
58,27.7,1403,"Birmingham, Alabama"
59,27.7,1171,"Round Rock, Arizona"
60,27.6,4730,"Bloomington, Indiana"
61,27.6,46145,"Tallahassee, Florida"
62,27.5,4790,"San Carlos, Arizona"
63,27.5,158,"Hensley, West Virginia"
64,27.5,1751,"Prewitt, New Mexico"
65,27.4,2373,"Carrollton, Georgia"
66,27.3,2107,"Johnson City, Tennessee"
67,27.3,417,"Marshall, Alaska"
68,27.3,166,"Institute, West Virginia"
69,27.2,4558,"Thoreau, New Mexico"
70,27.2,1199,"Dennehotso, Arizona"
71,27.2,244,"Isaban, West Virginia"
72,27.2,388,"Scalf, Kentucky"
73,27.2,4633,"Charlottesville, Virginia"
74,27.2,1199,"Dennehotso, Arizona"
75,27.1,938,"Chevak, Alaska"
76,27.1,265,"Fort Apache, Arizona"
77,27.1,388,"Warriormine, West Virginia"
78,27.1,2340,"Lukachukai, Arizona"
79,27.0,20735,"Allendale, Michigan"
80,27.0,303,"State University, Arkansas"
81,27.0,9844,"Storrs Mansfield, Connecticut"
82,27.0,1093,"Hooper Bay, Alaska"
83,27.0,1093,"Hooper Bay, Alaska"
84,27.0,604,"Pinehill, New Mexico"
85,26.9,511,"Bartley, West Virginia"
86,26.9,568,"Pilot Station, Alaska"
87,26.9,1759,"Hattiesburg, Mississippi"
88,26.9,5133,"Madison, Wisconsin"
89,26.9,834,"Memphis, Tennessee"
90,26.9,7883,"Zuni, New Mexico"
91,26.8,1893,"Ruston, Louisiana"
92,26.8,2311,"Kaibeto, Arizona"
93,26.8,559,"Berwind, West Virginia"
94,26.8,200,"Wilsondale, West Virginia"
95,26.8,677,"Nageezi, New Mexico"
96,26.8,448,"North Matewan, West Virginia"
97,26.8,1793,"Blue Gap, Arizona"
98,26.8,1513,"War, West Virginia"
99,26.7,657,"Raysal, West Virginia"
100,26.7,2338,"Many Farms, Arizona"
101,26.7,151,"Big Sandy, West Virginia"
102,26.6,1832,"Mentmore, New Mexico"
103,26.6,1103,"Jackson, Mississippi"
104,26.6,2408,"Corvallis, Oregon"
105,26.6,1402,"Dulac, Louisiana"
106,26.6,7334,"Memphis, Tennessee"
107,26.6,3193,"Yatahey, New Mexico"
108,26.6,3616,"Mescalero, New Mexico"
109,26.5,1335,"Baton Rouge, Louisiana"
110,26.5,10154,"Toledo, Ohio"
111,26.5,1514,"Hammond, Louisiana"
112,26.4,9040,"Cincinnati, Ohio"
113,26.4,1493,"Towaoc, Colorado"
114,26.4,1308,"Birmingham, Alabama"
115,26.4,1454,"Monument Valley, Utah"
116,26.4,813,"Mountain Village, Alaska"
117,26.3,218,"Nashville, Tennessee"
118,26.3,6358,"Cincinnati, Ohio"
119,26.3,927,"Davy, West Virginia"
120,26.3,10714,"Chinle, Arizona"
121,26.3,2499,"Youngstown, Ohio"
122,26.2,1667,"Troy, Alabama"
123,26.2,8782,"Akron, Ohio"
124,26.2,5358,"Pinon, Arizona"
125,26.2,5358,"Pinon, Arizona"
126,26.1,762,"Emmonak, Alaska"
127,26.1,1315,"Sanostee, New Mexico"
128,26.1,842,"Tacoma, Washington"
129,26.1,842,"Tacoma, Washington"
130,26.1,7682,"Ganado, Arizona"
131,26.1,887,"Crum, West Virginia"
132,26.1,265,"Squire, West Virginia"
133,26.1,280,"Nightmute, Alaska"
134,26.1,654,"Breeden, West Virginia"
135,26.0,1088,"Nazlini, Arizona"
136,26.0,3202,"Kermit, West Virginia"
137,26.0,1164,"Flint, Michigan"
138,26.0,1228,"Columbia, South Carolina"
139,26.0,1688,"Vanderwagen, New Mexico"
140,26.0,189,"Nunam Iqua, Alaska"
141,26.0,601,"Roderfield, West Virginia"
142,26.0,453,"Farmington, New Mexico"
143,26.0,1088,"Nazlini, Arizona"
144,26.0,8307,"Cleveland, Ohio"
145,26.0,1800,"Cibecue, Arizona"
146,25.9,3182,"Santo Domingo Pueblo, New Mexico"
147,25.9,12596,"East Lansing, Michigan"
148,25.9,677,"Alakanuk, Alaska"
149,25.9,1083,"Conway, Arkansas"
150,25.9,1272,"West Columbia, West Virginia"
151,25.9,16526,"Cincinnati, Ohio"
152,25.9,154,"Monroe, Louisiana"
153,25.9,480,"Scammon Bay, Alaska"
154,25.9,616,"Saint Marys, Alaska"
155,25.8,1239,"Arjay, Kentucky"
156,25.8,203,"Columbia, Missouri"
157,25.8,1021,"Red Jacket, West Virginia"
158,25.7,604,"Arnett, West Virginia"
159,25.7,1490,"Peach Springs, Arizona"
160,25.7,6085,"Colorado City, Arizona"
161,25.7,240,"Newhall, West Virginia"
162,25.7,765,"Mexican Springs, New Mexico"
163,25.7,1050,"Minneapolis, Minnesota"
164,25.6,8932,"Chattanooga, Tennessee"
165,25.6,384,"Clear Creek, West Virginia"
166,25.6,5662,"Crownpoint, New Mexico"
167,25.6,83,"Saxon, West Virginia"
168,25.6,1856,"Indian Wells, Arizona"
169,25.6,642,"Mexican Hat, Utah"
170,25.6,5586,"Cleveland, Ohio"
171,25.5,1750,"Newcomb, New Mexico"
172,25.5,150,"Cucumber, West Virginia"
173,25.5,496,"Nunapitchuk, Alaska"
174,25.5,483,"Simon, West Virginia"
175,25.5,1650,"Rock Point, Arizona"
176,25.5,3417,"Dulce, New Mexico"
177,25.5,418,"Chefornak, Alaska"
178,25.5,516,"Ridgeview, West Virginia"
179,25.4,247,"Rehoboth, New Mexico"
180,25.4,420,"Rock Creek, West Virginia"
181,25.4,210,"Artie, West Virginia"
182,25.4,6972,"Cincinnati, Ohio"
183,25.4,569,"Kasigluk, Alaska"
184,25.4,3350,"Gallup, New Mexico"
185,25.4,835,"Happy, Kentucky"
186,25.4,371,"Walker, Kentucky"
187,25.4,337,"Premier, West Virginia"
188,25.4,723,"Kwethluk, Alaska"
189,25.4,2223,"Valdosta, Georgia"
190,25.3,346,"Akiak, Alaska"
191,25.3,2702,"Orono, Maine"
192,25.3,659,"Mobile, Alabama"
193,25.3,7844,"Kayenta, Arizona"
194,25.3,669,"Quinhagak, Alaska"
195,25.3,261,"Kenvir, Kentucky"
196,25.3,408,"Edgarton, West Virginia"
197,25.3,938,"Brimhall, New Mexico"
198,25.3,1286,"Dingess, West Virginia"
199,25.3,1501,"Cyclone, West Virginia"
200,25.3,550,"Kopperston, West Virginia"
201,25.2,539,"Kistler, West Virginia"
202,25.2,1941,"Cameron, Arizona"
203,25.2,618,"Dorothy, West Virginia"
204,25.2,3770,"Newark, Delaware"
205,25.2,627,"Akiachak, Alaska"
206,25.2,1273,"Vicco, Kentucky"
207,25.1,373,"Tuluksak, Alaska"
208,25.1,2071,"Genoa, West Virginia"
209,25.1,1012,"Naoma, West Virginia"
210,25.1,28346,"Toledo, Ohio"
211,25.1,5647,"Knoxville, Tennessee"
212,25.1,295,"Delphia, Kentucky"
213,25.1,383,"Coal Mountain, West Virginia"
214,25.1,2439,"Sanders, Arizona"
215,25.0,374,"Kivalina, Alaska"
216,25.0,2654,"Montezuma Creek, Utah"
217,25.0,374,"Kivalina, Alaska"
218,25.0,34122,"Athens, Ohio"
219,25.0,262,"Jenkinjones, West Virginia"
220,25.0,7808,"College Park, Maryland"
221,25.0,2271,"Keams Canyon, Arizona"
222,25.0,1092,"Dunlow, West Virginia"
223,25.0,64,"Zoe, Kentucky"
224,25.0,470,"Washington, District of Columbia"
225,25.0,1111,"Sheep Springs, New Mexico"
226,24.9,2870,"Moorhead, Mississippi"
227,24.9,841,"Selawik, Alaska"
228,24.9,1595,"Matewan, West Virginia"
229,24.9,1321,"Houck, Arizona"
230,24.9,639,"Kipnuk, Alaska"
231,24.9,964,"Accoville, West Virginia"
232,24.9,555,"Stoney Fork, Kentucky"
233,24.9,956,"Charleston, South Carolina"
234,24.9,639,"Kipnuk, Alaska"
235,24.8,451,"Kettle Island, Kentucky"
236,24.8,4974,"Scottsdale, Arizona"
237,24.8,27038,"Oxford, Ohio"
