zcta5,b01003_001,b02001_001,b02001_002,b02001_003,b02001_004,b02001_005,b02001_006,b02001_007,b02001_008,b02001_009,b02001_010
601,16773,16773,12235,255,21,2,0,3703,557,385,172
602,37083,37083,28378,993,112,17,0,1177,6406,651,5755
603,45652,45652,35612,1630,76,30,14,6273,2017,1621,396
606,6231,6231,3159,96,22,0,0,2707,247,225,22
610,26502,26502,20023,448,0,0,1,1569,4461,690,3771
612,58771,58771,39173,2394,36,535,0,11915,4718,4284,434
616,9688,9688,6650,763,0,59,0,1411,805,724,81
617,23771,23771,16676,805,0,154,0,3811,2325,2210,115
622,6505,6505,1716,45,0,0,0,4191,553,255,298
623,41472,41472,10117,774,110,129,0,27497,2845,894,1951
624,21031,21031,14802,669,0,24,0,4907,629,450,179
627,31066,31066,28157,471,0,0,0,1895,543,415,128
631,1481,1481,1095,0,0,0,0,386,0,0,0
637,21957,21957,13948,406,69,5,0,6674,855,569,286
638,16018,16018,13443,242,149,13,0,613,1558,817,741
641,26383,26383,11821,256,0,15,0,13697,594,249,345
646,36538,36538,24676,4217,0,52,0,2183,5410,3300,2110
647,5708,5708,2770,333,0,0,0,2438,167,167,0
650,13869,13869,10049,265,0,110,0,2429,1016,939,77
652,3624,3624,2711,66,0,39,0,457,351,234,117
653,10117,10117,5549,521,23,0,0,3693,331,294,37
656,17984,17984,13773,284,0,127,0,3379,421,394,27
659,39561,39561,36220,562,0,25,0,1699,1055,1028,27
660,15731,15731,3377,419,0,0,0,11533,402,290,112
662,39017,39017,23689,2721,19,0,0,11028,1560,1313,247
664,14405,14405,7302,385,43,0,0,6087,588,268,320
667,22721,22721,6024,249,0,0,0,15645,803,759,44
669,24022,24022,17086,299,0,0,0,6242,395,273,122
670,8051,8051,4004,83,0,0,0,3568,396,321,75
674,38218,38218,28740,1471,29,141,0,4516,3321,3039,282
676,35621,35621,28644,1438,0,27,0,4322,1190,1065,125
677,13949,13949,10081,90,0,0,0,495,3283,315,2968
678,24997,24997,21101,634,25,0,0,2555,682,444,238
680,44904,44904,10957,1352,184,0,3,31342,1066,751,315
682,30212,30212,7931,981,0,5,0,20014,1281,837,444
683,28710,28710,16753,470,19,8,22,10539,899,865,34
685,36546,36546,22689,1356,0,108,0,10613,1780,614,1166
687,30652,30652,24401,874,37,0,0,1650,3690,1565,2125
688,11355,11355,7308,195,26,94,0,3574,158,141,17
690,5900,5900,4771,125,0,0,0,494,510,414,96
692,34857,34857,21129,2915,0,0,0,6765,4048,3605,443
693,52220,52220,38550,2826,47,8,1,6260,4528,4344,184
694,32,32,32,0,0,0,0,0,0,0,0
698,34449,34449,24991,1244,85,5,0,6822,1302,1224,78
703,25619,25619,11951,2268,179,0,0,1527,9694,529,9165
704,7641,7641,3720,2571,4,18,0,632,696,563,133
705,22289,22289,14314,3519,74,24,0,1539,2819,2807,12
707,10514,10514,1053,7477,8,0,0,1965,11,1,10
714,17413,17413,10964,4536,0,0,0,1149,764,454,310
715,2846,2846,1592,392,23,0,0,347,492,117,375
716,26433,26433,20066,1794,0,20,0,1324,3229,1639,1590
717,15115,15115,10392,952,77,0,0,1143,2551,1023,1528
718,25543,25543,15818,864,0,85,0,7923,853,388,465
719,28048,28048,21443,1593,0,0,0,297,4715,2741,1974
720,20387,20387,15256,930,50,0,0,1542,2609,742,1867
723,16645,16645,1220,12900,0,0,0,2305,220,220,0
725,79395,79395,54080,6859,271,128,0,12448,5609,3190,2419
727,51772,51772,38349,4029,65,264,0,6245,2820,1823,997
