zcta5,b15003_001,b15003_002,b15003_003,b15003_004,b15003_005,b15003_006,b15003_007,b15003_008,b15003_009,b15003_010,b15003_011,b15003_012,b15003_013,b15003_014,b15003_015,b15003_016,b15003_017,b15003_018,b15003_019,b15003_020,b15003_021,b15003_022,b15003_023,b15003_024,b15003_025
601,11886,419,0,0,53,129,599,207,157,577,200,452,695,294,314,71,3153,163,221,1024,1290,1644,155,16,53
602,27192,758,34,13,139,275,666,847,719,1405,612,1088,1252,576,799,106,6347,756,269,1895,3061,4210,1065,131,169
603,32901,789,19,0,149,263,418,683,723,1029,704,859,1553,553,696,442,8761,866,454,3729,2558,5367,1686,323,277
606,4569,217,0,17,17,47,163,188,106,347,103,230,455,113,58,0,1266,119,115,325,201,319,163,0,0
610,19322,883,0,0,157,241,556,301,463,754,595,455,915,126,605,82,5391,575,154,1611,2166,2610,585,48,49
612,42106,1022,0,0,186,223,243,755,476,1082,492,884,1729,495,628,449,11572,873,651,4900,4805,7885,2026,278,452
616,7326,259,58,13,16,31,57,170,119,233,90,193,285,80,204,112,2002,206,75,1008,576,1258,223,0,58
617,16832,649,60,0,277,84,94,150,243,531,318,570,787,195,420,98,5218,150,210,1582,1448,3005,743,0,0
622,5597,153,0,0,75,0,180,158,73,252,192,206,436,205,48,40,1137,58,74,510,658,815,312,0,15
623,29523,493,0,25,185,424,351,597,651,1203,578,608,1427,434,761,246,7052,767,345,2862,2589,6056,1408,141,320
624,14406,390,0,0,106,108,314,234,151,293,355,363,686,403,242,186,4089,246,167,854,2033,2696,339,81,70
627,22442,672,0,0,140,194,399,439,341,587,385,879,1179,404,464,83,5166,437,83,1888,3862,3568,945,59,268
631,1154,29,0,0,6,0,52,68,71,109,12,38,38,15,23,0,250,0,10,90,135,160,48,0,0
637,15749,411,20,0,152,114,194,418,179,622,122,317,588,285,437,159,4557,396,236,1448,1894,2594,374,133,99
638,11518,251,23,15,55,97,432,228,157,558,289,331,717,129,312,61,3206,282,233,1248,1123,1400,244,56,71
641,19144,527,0,8,201,74,363,593,247,782,453,480,714,391,262,167,5028,250,239,2943,1625,3085,565,46,101
646,25499,552,0,0,55,114,210,244,208,541,287,707,1142,290,335,198,6756,332,242,3108,2243,5323,1609,679,324
647,4045,108,0,0,15,15,79,21,65,211,142,114,158,111,69,21,1526,31,28,137,486,663,25,2,18
650,9731,198,0,0,58,111,45,200,117,419,108,187,454,45,255,50,3294,87,75,1414,1090,1185,254,40,45
652,2672,59,0,0,13,0,36,76,22,38,54,149,113,42,64,23,464,50,63,348,282,615,138,0,23
653,7088,17,46,0,11,94,120,192,89,380,112,221,438,354,115,84,2319,124,75,491,760,730,292,5,19
656,12751,255,19,0,101,88,173,164,149,437,208,221,428,275,260,143,3735,278,66,873,1733,2458,574,19,94
659,28919,744,0,0,170,490,657,845,444,997,585,604,949,396,343,137,6239,412,249,1722,5155,5670,1513,236,362
660,11822,262,0,0,21,132,247,241,190,456,179,154,330,168,217,65,3225,478,150,1436,1040,2205,547,79,0
662,28308,627,0,1,159,331,495,558,343,1114,968,947,979,286,621,495,7531,434,130,2594,2773,4928,1782,81,131
664,9895,223,0,0,44,187,192,205,106,282,145,190,270,188,121,85,3565,173,79,1248,590,1419,509,20,54
667,16330,449,0,0,40,177,750,321,236,631,121,559,1154,355,608,127,4104,454,198,1183,2046,2194,400,111,112
669,17435,577,0,22,141,296,308,486,358,966,425,415,1092,301,422,129,3964,395,114,1560,2148,2586,670,21,39
670,5645,110,0,0,83,105,207,260,89,359,84,208,338,44,115,28,1798,205,24,207,402,865,78,18,18
674,27308,926,12,0,161,183,297,536,158,832,700,656,827,361,1108,205,7602,494,237,3166,2461,4847,1009,297,233
676,25023,859,0,0,228,311,526,342,496,764,391,851,1411,510,524,258,7284,482,225,2585,1652,3865,904,251,304
677,10532,374,0,0,139,69,205,169,129,497,212,232,427,357,183,26,2394,360,196,697,1508,1829,375,19,135
678,18053,667,0,0,44,85,308,201,293,566,494,424,898,327,494,41,5190,167,254,1712,2266,2694,728,28,172
680,31171,938,45,35,257,306,651,683,519,1245,613,1024,1608,293,625,290,7231,1744,516,2931,2307,5016,1483,317,494
682,19321,289,0,0,118,187,233,424,219,489,573,500,903,427,512,139,3901,708,366,1729,938,4339,1281,420,626
683,20650,795,15,0,152,136,377,346,335,887,559,538,1078,301,482,60,6145,591,175,1585,1404,3461,869,120,239
685,26575,869,18,24,215,208,684,1020,616,1413,499,756,1273,420,568,143,6625,453,386,2382,2829,3979,906,170,119
687,21351,268,0,0,111,283,408,454,358,887,582,492,812,427,442,210,6008,386,160,2683,2730,3017,586,1,46
688,8212,341,8,18,96,51,124,136,103,389,172,89,320,175,115,149,2582,101,91,982,711,1232,205,9,13
690,4070,33,0,0,65,0,27,65,0,123,31,51,162,45,117,15,1193,131,91,518,208,949,173,58,15
692,24299,697,0,56,93,173,296,465,353,627,292,829,843,482,642,177,6570,338,315,2415,2898,3766,1437,91,444
693,37341,885,0,0,90,244,491,712,431,815,1108,1302,1483,804,919,831,9804,794,598,3829,4161,5784,1791,182,283
